		com.google.Translate	 <vacio>	 1.1.0.1360	  <vacio> 	yes	  <vacio> 			
		com.tomtom.France	 TomTom France	 1.6	 547,26   	no	 -     	547,26		
		com.tomtom.Iberia	 TomTom Iberia	 1.6	 484,47   	no	 -     	484,47		
		com.kiloo.frisbeeforever	 Frisbee® Forever	 1.1.1	 121,40   	no	 -     	121,4		
		com.gamerizon.chopchopcaveman	 Chop Chop Caveman	 1.7	 72,90   	no	 -     	72,9		
		com.softalkltd.MemoryStick	 File Sharing (Ver, compartir y almacenar documentos)	 4.0	 69,04   	no	 -     	69,04		
		com.spacesofplay.spiritsiphone	 Spirits	 1.1	 46,17   	no	 -     	46,17		
		com.ppclink.lexisgoo	 Lexisgoo English Dictionary & Thesaurus	 4.5	 39,88   	no	 -     	39,88		
		com.clickgamer.AngryBirds	 Angry Birds	 1.5.3	 39,06   	no	 -     	39,06		
		com.sharp.DropTheChicken	 Drop The Chicken	 1.01	 38,85   	no	 -     	38,85		
		com.goodiware.GoodReaderLite	 GoodReader Lite for iPhone	 2.8.3	 36,84   	no	 -     	36,84		
		com.mobisystems.CambridgeAcademicContentA	 Audio Cambridge Academic Content Dictionary	 3.01	 34,71   	no	 -     	34,71		
		uk.co.bigpixelstudios.landapanda	 Land-a Panda	 1.1	 23,11   	no	 -     	23,11		
		com.ibucle.ipochagc	 iPocha GC	 1.1	 22,54   	no	 -     	22,54		
		com.kabukivision.notemaster	 NoteMaster - Notes with images, synced with Google Docs™	 4.1.1	 21,26   	no	 -     	21,26		
		ch.reeder	 Reeder	 2.3.1	 17,09   	no	 -     	17,09		
		com.andreasilliger.tinywings	 Tiny Wings	 1.1.0	 16,68   	no	 -     	16,68		
		com.playfulart.Geared2	 Geared 2!	 1.0	 16,55   	no	 -     	16,55		
		com.jonkean.EmojiFree	 Emoji Free! - emoticones gratis	 2.0	 16,19   	no	 -     	16,19		
		com.appgeneration.crazyformula	 Crazy Formula	 2.0	 15,67   	no	 -     	15,67		
		us.digitalsmoke.solitairecityclassic	 Solitaire City™ Classic	 2.02	 14,88   	no	 -     	14,88		
		com.shazam.Shazam	 Shazam	404	 14,57   	no	 -     	14,57		
		com.ea.scrabblebv	 Scrabble®	 1.6.23	 13,45   	no	 -     	13,45		
		com.popcap.bejeweled2	 Bejeweled 2 + Blitz	115	 13,11   	no	 -     	13,11		
		com.yourcompany.TestWithCustomTabs	 AccuWeather	 4.2	 9,73   	no	 -     	9,73		
		com.mobilityware.BlackJackFree	 Blackjack Free	 3.1.5	 9,57   	no	 -     	9,57		
		com.mikkokankainen.Marple	 Marple	 2.1.9	 9,21   	no	 -     	9,21		
		com.yahoo.flickr	 Flickr	 1.3.0	 8,92   	no	 -     	8,92		
		nl.alwintroost.touchrummy	 Touch Rummy	 2.2.1	 6,09   	no	 -     	6,09		
		ca.jubilo.ipadflickr	 FlickStackr	 1.8.5	 5,41   	no	 -     	5,41		
		com.tdc.ireversi	 Reversi HD Pro	 1.1	 5,06   	no	 -     	5,06		
		com.donutgames.spikeysbouncearound	 Spikey's Bounce Around	 1.13	 4,56   	no	 -     	4,56		
		com.tweakersoft.AroundMe	 AroundMe	 4.2.1	 3,92   	no	 -     	3,92		
		com.aol.shoutcast.mobile	 SHOUTcast Radio	 1.3.2.1	 3,73   	no	 -     	3,73		
		com.experienceon.bliquo	 bliquo	 2.4.1	 3,44   	no	 -     	3,44		
		es.eltiempo.eltiempo	 Eltiempo.es	 1.3	 3,20   	no	 -     	3,2		
		ar.com.esquilaxgames.escoba15	 Escoba de 15	 1.2	 3,03   	no	 -     	3,03		
		com.purplegoolabs.antibleh	 anti:bleh	 1.6.4	 2,79   	no	 -     	2,79		
		com.mobilaria.TuninFMv2	 Tunin.FM iCar Radio Lite	 1.5	 1,72   	no	 -     	1,72		
		com.mindthefrog.sudoku	 +SUDOKU	 2.2	 1,52   	no	 -     	1,52		
		com.walkersoftware.iInfo	 iInformation	 1.4	 0,74   	no	 -     	0,74		
		com.blueonionsoft.flashlightledfree	 True Flashlight 4 Free	 1.1	 0,68   	no	 -     	0,68		
		com.RecessionApps.System	 System Activity Monitor	 1.3.2	 0,64   	no	 -     	0,64		
		com.tomtom.CarKit	 TomTom car kit tool	 1.0	 0,32   	no	 -     	0,32		
